date,limit_up,close,prev_settlement,open_interest,volume,limit_down,high,low,prev_close,open,total_turnover,settlement,dominant_id
2018-05-10,8757.0,8344.0,8352.0,275626.0,1347744.0,7947.0,8401.0,8289.0,8095.0,8358.0,108857282880.0,8340.0,AP1810
2018-05-11,8744.0,8405.0,8340.0,267250.0,1153924.0,7936.0,8419.0,8311.0,8081.0,8335.0,93248598440.0,8344.0,AP1810
2018-05-14,8749.0,8749.0,8344.0,337098.0,2019550.0,7939.0,8749.0,8423.0,8142.0,8437.0,168349688000.0,8599.0,AP1810
2018-05-15,9266.0,9257.0,8599.0,300456.0,2874744.0,7932.0,9261.0,8785.0,8486.0,8791.0,252833734800.0,9058.0,AP1810
2018-05-16,9498.0,9165.0,9058.0,275460.0,4015128.0,8618.0,9498.0,9143.0,8994.0,9238.0,362806966080.0,9299.0,AP1810
2018-05-17,9751.0,9311.0,9299.0,315066.0,2768822.0,8847.0,9378.0,9059.0,8902.0,9154.0,247892633660.0,9216.0,AP1810
2018-05-18,9664.0,9412.0,9216.0,319588.0,2928046.0,8768.0,9541.0,9314.0,9048.0,9337.0,268004050380.0,9416.0,AP1810
2018-05-21,9874.0,9400.0,9416.0,337574.0,1667648.0,8958.0,9450.0,9173.0,9149.0,9342.0,151188967680.0,9329.0,AP1810
2018-05-22,9783.0,9671.0,9329.0,425936.0,1320558.0,8875.0,9702.0,9408.0,9137.0,9408.0,123617434380.0,9624.0,AP1810
2018-05-23,10093.0,9501.0,9624.0,436928.0,1707150.0,9155.0,9798.0,9269.0,9408.0,9702.0,157604088000.0,9495.0,AP1810
2018-05-24,9957.0,9403.0,9495.0,433764.0,1257986.0,9033.0,9563.0,9347.0,9238.0,9525.0,115281837040.0,9427.0,AP1810
2018-05-25,9886.0,9482.0,9427.0,454728.0,1165152.0,8968.0,9489.0,9314.0,9140.0,9385.0,106436635200.0,9398.0,AP1810
2018-05-28,9855.0,9349.0,9398.0,452350.0,1049696.0,8941.0,9578.0,9346.0,9219.0,9519.0,96572032000.0,9463.0,AP1810
2018-05-29,9923.0,9557.0,9463.0,473108.0,1182994.0,9003.0,9573.0,9304.0,9086.0,9368.0,108492379740.0,9434.0,AP1810
2018-05-30,9893.0,9538.0,9434.0,443816.0,914416.0,8975.0,9648.0,9469.0,9294.0,9538.0,84830372320.0,9540.0,AP1810
2018-05-31,10004.0,9570.0,9540.0,490090.0,1184706.0,9076.0,9807.0,9529.0,9275.0,9583.0,110983258080.0,9631.0,AP1810
2018-06-01,10100.0,9662.0,9631.0,441204.0,725980.0,9162.0,9670.0,9538.0,9307.0,9570.0,67777492800.0,9599.0,AP1810
2018-06-04,10066.0,9610.0,9599.0,449122.0,673936.0,9132.0,9685.0,9504.0,9399.0,9662.0,62911925600.0,9598.0,AP1810
2018-06-05,10065.0,9403.0,9598.0,464650.0,1207730.0,9131.0,9633.0,9235.0,9347.0,9615.0,110495217700.0,9412.0,AP1810
2018-06-06,9870.0,9398.0,9412.0,420024.0,695836.0,8954.0,9459.0,9346.0,9140.0,9383.0,63592452040.0,9402.0,AP1810
2018-06-07,9859.0,9386.0,9402.0,429436.0,653302.0,8945.0,9449.0,9316.0,9135.0,9418.0,59535411260.0,9376.0,AP1810
2018-06-08,9832.0,8920.0,9376.0,440174.0,1299996.0,8920.0,9354.0,8920.0,9123.0,9354.0,114607647360.0,9079.0,AP1810
2018-06-11,9785.0,8997.0,9079.0,374216.0,814964.0,8373.0,9031.0,8843.0,8657.0,8843.0,70901868000.0,8963.0,AP1810
2018-06-12,9398.0,9398.0,8963.0,465484.0,1426818.0,8528.0,9398.0,8994.0,8734.0,9007.0,128727519960.0,9285.0,AP1810
